Tarih,PM10
19 06 2018,19.58403917
18 06 2018,18.71417683
17 06 2018,23.47038821
16 06 2018,19.80788067
15 06 2018,26.434575
14 06 2018,26.70686967
13 06 2018,29.5760625
12 06 2018,30.78647727
11 06 2018,
10 06 2018,
9 06 2018,21.83066125
8 06 2018,21.4183925
7 06 2018,23.41506125
6 06 2018,28.51753708
5 06 2018,32.90231958
4 06 2018,24.58310333
3 06 2018,22.78847458
2 06 2018,31.42361708
1 06 2018,23.78545708
31 05 2018,21.83341125
30 05 2018,24.33185208
29 05 2018,27.581935
28 05 2018,46.12937042
27 05 2018,43.03834958
26 05 2018,30.54834227
25 05 2018,32.62530958
24 05 2018,27.74897458
23 05 2018,27.71752583
22 05 2018,31.36823375
21 05 2018,25.08906958
20 05 2018,18.12392667
19 05 2018,29.4076425
18 05 2018,31.348635
17 05 2018,34.73603524
16 05 2018,30.44133833
15 05 2018,27.63784083
14 05 2018,20.8429575
13 05 2018,19.00222
12 05 2018,14.97125792
11 05 2018,17.11890625
10 05 2018,16.41607729
9 05 2018,25.56762542
8 05 2018,33.8595375
7 05 2018,32.88983091
6 05 2018,32.65968333
5 05 2018,34.38385167
4 05 2018,32.66862458
3 05 2018,30.38095458
2 05 2018,28.16302917
1 05 2018,27.68614667
30 04 2018,33.22110083
29 04 2018,30.95907583
28 04 2018,37.36934792
27 04 2018,31.78809542
26 04 2018,32.03786875
25 04 2018,33.75026542
24 04 2018,26.21864292
23 04 2018,27.49470833
22 04 2018,24.91312167
21 04 2018,16.02828467
20 04 2018,28.35464708
19 04 2018,37.6108925
18 04 2018,33.08756583
17 04 2018,37.71720208
16 04 2018,32.95714133
15 04 2018,36.88614125
14 04 2018,39.71399125
13 04 2018,38.87204542
12 04 2018,40.48313167
11 04 2018,54.15613042
10 04 2018,47.10492174
9 04 2018,49.38696417
8 04 2018,34.27468042
7 04 2018,40.3054025
6 04 2018,37.5766775
5 04 2018,40.89198717
4 04 2018,29.90876917
3 04 2018,15.43118263
2 04 2018,42.96593958
1 04 2018,35.68544792
31 03 2018,27.23315817
30 03 2018,9.712190708
29 03 2018,65.05352833
28 03 2018,196.9460167
27 03 2018,265.6619354
26 03 2018,
25 03 2018,
24 03 2018,
23 03 2018,
22 03 2018,75.62499625
21 03 2018,56.75787958
20 03 2018,75.50096333
19 03 2018,103.3354871
18 03 2018,71.1721225
17 03 2018,42.92900721
16 03 2018,20.65428792
15 03 2018,22.94658458
14 03 2018,25.25239083
13 03 2018,47.59379708
12 03 2018,48.8919125
11 03 2018,43.79133583
10 03 2018,29.85669496
9 03 2018,17.11281542
8 03 2018,67.33213667
7 03 2018,64.76197167
6 03 2018,43.54176667
5 03 2018,32.35194417
4 03 2018,51.47784958
3 03 2018,58.17812792
2 03 2018,35.32357433
1 03 2018,19.8701
28 02 2018,32.653275
27 02 2018,29.54279329
26 02 2018,12.69695538
25 02 2018,20.89213263
24 02 2018,52.77375833
23 02 2018,31.65026667
22 02 2018,66.88006
21 02 2018,25.26113375
20 02 2018,35.74696696
19 02 2018,24.71134575
18 02 2018,11.13307767
17 02 2018,39.2107075
16 02 2018,55.63832167
15 02 2018,32.901622
14 02 2018,34.03174338
13 02 2018,25.92884592
12 02 2018,33.72439333
11 02 2018,70.18656792
10 02 2018,69.83065125
9 02 2018,88.70983042
8 02 2018,111.7132638
7 02 2018,72.18324583
6 02 2018,36.06091825
5 02 2018,38.14579292
4 02 2018,59.79365833
3 02 2018,50.82259042
2 02 2018,47.01424917
1 02 2018,42.00283083
31 01 2018,58.6217
30 01 2018,54.288075
29 01 2018,33.04659125
28 01 2018,25.71050917
27 01 2018,12.41885317
26 01 2018,8.333637125
25 01 2018,7.954320227
24 01 2018,8.666454375
23 01 2018,33.28672392
22 01 2018,56.12755125
21 01 2018,36.41634667
20 01 2018,44.62790004
19 01 2018,32.29382279
18 01 2018,20.08333333
17 01 2018,18.58346083
16 01 2018,27.25
15 01 2018,11.36363636
14 01 2018,14.29191083
13 01 2018,48.41944667
12 01 2018,68.12731375
11 01 2018,71.53926417
10 01 2018,62.58150458
9 01 2018,43.45387583
8 01 2018,38.584985
7 01 2018,36.75633042
6 01 2018,25.82702971
